,Abstract,Acknowledgment,Autoregressive Language Modeling,Character LM Hyperparameters,Conclusion and Future Work,Implementation Details,Introduction,Longformer,Longformer-Encoder-Decoder (LED),Pretraining Data,Pretraining and Finetuning,References,Related Work,Results,Results (2),Task speciﬁc model details,Tasks
Abstract,0.0,0.0,0.0,0.0,0.36676470588235294,0.0,0.4167955801104972,0.0,0.20074303405572758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acknowledgment,0.0,0.0,0.0,0.0,0.2495238095238095,0.09030927835051547,0.0,0.0,0.0,0.0,0.0,0.2482449941107185,0.0,0.0,0.0,0.0,0.0
Autoregressive Language Modeling,0.0,0.0,0.0,0.2322842639593909,0.0,0.0,0.0,0.3994488188976378,0.0,0.0,0.0,0.0,0.0,0.4273198847262248,0.0,0.0,0.0
Character LM Hyperparameters,0.0,0.0,0.0,0.0,0.0,0.35178247734138973,0.0,0.0,0.0,0.28132231404958674,0.0,0.0,0.0,0.0,0.0,0.2285148514851485,0.0
Conclusion and Future Work,0.2867647058823529,0.2495238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.3459190031152648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Implementation Details,0.0,0.0,0.0,0.35178247734138973,0.0,0.0,0.0,0.2179176755447942,0.0,0.0,0.0,0.2727868852459016,0.0,0.0,0.0,0.0,0.0
Introduction,0.4167955801104972,0.0,0.0,0.0,0.0,0.0,0.0,0.28947176684881604,0.0,0.0,0.0,0.0,0.4624334600760456,0.0,0.0,0.0,0.0
Longformer,0.0,0.0,0.3994488188976378,0.0,0.0,0.2979176755447942,0.0,0.0,0.0,0.0,0.0,0.0,0.41744916820702405,0.0,0.0,0.0,0.0
Longformer-Encoder-Decoder (LED),0.0,0.0,0.0,0.0,0.3459190031152648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36909441233140655,0.212484076433121,0.0
Pretraining Data,0.0,0.0,0.0,0.28132231404958674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864396284829721,0.07836990595611286
Pretraining and Finetuning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24793893129770994,0.0,0.0,0.0,0.0,0.3707339449541284,0.0,0.0,0.4054275092936803
References,0.0,0.2482449941107185,0.0,0.0,0.0,0.2727868852459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682634730538923,0.0
Related Work,0.0,0.0,0.0,0.0,0.0,0.0,0.4624334600760456,0.41744916820702405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25857142857142856
Results,0.0,0.0,0.4273198847262248,0.2528813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.3707339449541284,0.0,0.0,0.0,0.0,0.0,0.0
Results (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36909441233140655,0.0,0.0,0.0,0.0,0.0,0.0,0.25654476670870113,0.4230708661417323
Task speciﬁc model details,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864396284829721,0.0,0.0,0.0,0.0,0.17654476670870115,0.0,0.19735099337748344
Tasks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054275092936803,0.0,0.0,0.0,0.4230708661417323,0.2773509933774834,0.0
